id,title,description,category,price,image_url,image_path
1,Blue Denim Jacket,Classic blue denim jacket with button closure. Perfect for casual outings.,outerwear,89.99,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=600&auto=format,data/images/product_1.jpg
2,Black Leather Boots,High-quality leather boots with rubber sole. Water-resistant and durable.,footwear,129.99,https://images.unsplash.com/photo-1542840412-ec2c9f6b6030?w=600&auto=format,
3,White Cotton T-shirt,Soft and breathable cotton t-shirt. Basic essential for any wardrobe.,tops,24.99,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=600&auto=format,data/images/product_3.jpg
4,Black Slim-fit Jeans,Stretch denim slim-fit jeans. Modern cut and comfortable fit.,bottoms,59.99,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=600&auto=format,data/images/product_4.jpg
5,Red Knit Sweater,Warm knit sweater in vibrant red. Perfect for colder days.,outerwear,69.99,https://images.unsplash.com/photo-1584273143981-41c073dfe8f8?w=600&auto=format,data/images/product_5.jpg
6,Floral Summer Dress,Light floral print dress for summer. Comfortable and stylish.,dresses,79.99,https://images.unsplash.com/photo-1623609163859-ca93c959b5b8?w=600&auto=format,
7,Gray Formal Suit,Elegant gray suit for formal occasions. Tailored fit and high-quality fabric.,formal,299.99,https://images.unsplash.com/photo-1593032465175-481ac7f401a0?w=600&auto=format,data/images/product_7.jpg
8,Striped Polo Shirt,Cotton polo shirt with classic stripes. Casual yet refined look.,tops,39.99,https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=600&auto=format,data/images/product_8.jpg
9,Brown Leather Wallet,Genuine leather wallet with multiple card slots and coin pocket.,accessories,49.99,https://images.unsplash.com/photo-1559563458-527698bf5295?w=600&auto=format,data/images/product_9.jpg
10,Silver Watch,Elegant silver watch with metal strap. Water-resistant and durable.,accessories,159.99,https://images.unsplash.com/photo-1539874754764-5a96559165b0?w=600&auto=format,data/images/product_10.jpg
11,Khaki Chino Pants,Classic khaki chino pants. Versatile and perfect for business casual.,bottoms,69.99,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=600&auto=format,data/images/product_11.jpg
12,Blue Formal Shirt,Crisp blue formal shirt with standard collar. Perfect for office wear.,tops,59.99,https://images.unsplash.com/photo-1563630423918-b58f07336ac5?w=600&auto=format,
13,Black Running Shoes,Lightweight running shoes with cushioned sole. Comfortable for long runs.,footwear,89.99,https://images.unsplash.com/photo-1491553895911-0055eca6402d?w=600&auto=format,data/images/product_13.jpg
14,Red Baseball Cap,Adjustable cotton cap with embroidered logo. Perfect for casual outfits.,accessories,29.99,https://images.unsplash.com/photo-1521369909029-2afed882baee?w=600&auto=format,data/images/product_14.jpg
15,Navy Blue Backpack,Durable backpack with multiple compartments. Perfect for daily use.,accessories,79.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=600&auto=format,data/images/product_15.jpg
16,Green Hoodie,Comfortable cotton hoodie in forest green. Warm and casual.,outerwear,49.99,https://images.unsplash.com/photo-1556172732-bcded72dab6b?w=600&auto=format,
17,Beige Trench Coat,Classic trench coat in beige. Timeless style and weather-resistant.,outerwear,129.99,https://images.unsplash.com/photo-1520975954732-35dd22299614?w=600&auto=format,data/images/product_17.jpg
18,White Sneakers,Clean white leather sneakers. Versatile and minimalist design.,footwear,99.99,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=600&auto=format,data/images/product_18.jpg
19,Patterned Scarf,Soft cotton scarf with geometric pattern. Adds style to any outfit.,accessories,34.99,https://images.unsplash.com/photo-1601106976699-3d7a4699d16c?w=600&auto=format,
20,Wireless Headphones,Premium wireless headphones with noise cancellation. Long battery life.,electronics,199.99,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=600&auto=format,data/images/product_20.jpg
